run,label,benchmark,response_tokens_mean,assistant_turns_mean_all_messages,retrieval_rounds_mean,search_queries_mean,parallel_factor_mean,parallel_sample_rate,multi_query_round_rate,zero_search_rate,no_answer_tag_rate,empty_output_rate
e10_step70_reference,e10_step70_reference,nq,314.312,2.296,1.2994459833795013,1.954016620498615,1.6193747526711515,0.5290858725761773,0.5290858725761773,0.0002770083102493075,0.0033240997229916896,0.0
e10_step70_reference,e10_step70_reference,triviaqa,305.305,2.299,1.3016265912305516,1.8734087694483734,1.5324141661615152,0.4611032531824611,0.4611032531824611,0.0002652050919377652,0.0024752475247524753,0.0
e10_step70_reference,e10_step70_reference,popqa,311.309,2.516,1.524158976967231,1.904526629368597,1.334500281984482,0.3101794666860423,0.3101794666860423,0.0005812686187604447,0.010898786601758338,0.0
e10_step70_reference,e10_step70_reference,hotpotqa,323.382,2.642,1.6451917882225824,2.146677471636953,1.4509005749787758,0.4720421393841167,0.4720421393841167,0.0004051863857374392,0.0031064289573203676,0.0
e10_step70_reference,e10_step70_reference,2wikimultihopqa,349.636,2.988,2.0037372773536894,2.553435114503817,1.4157314007027872,0.5298982188295165,0.5298982188295165,7.951653944020357e-05,0.011927480916030535,0.0
e10_step70_reference,e10_step70_reference,musique,371.232,3.237,2.2517627540439653,2.5893819991704685,1.2365793683711566,0.32227291580257156,0.32227291580257156,0.0,0.007465781833264205,0.0
e10_step70_reference,e10_step70_reference,bamboogle,283.744,2.864,1.872,2.0,1.1293333333333333,0.136,0.136,0.0,0.0,0.0
e10_step70_reference,e10_step70_reference,OVERALL,,,1.6295580164449912,2.12802484326478,1.3058908132078864,0.4364758500810531,,0.00031249389660358197,0.0074412609128727955,
e1a_step70_reference,e1a_step70_reference,nq,313.053,2.263,1.26398891966759,1.9229916897506925,1.6301915974145893,0.525207756232687,0.525207756232687,0.0002770083102493075,0.0013850415512465374,0.0
e1a_step70_reference,e1a_step70_reference,triviaqa,302.567,2.282,1.2837694483734088,1.861916548797737,1.5420564760557696,0.4656117397454031,0.4656117397454031,8.84016973125884e-05,0.0011492220650636492,0.0
e1a_step70_reference,e1a_step70_reference,popqa,312.779,2.49,1.500617597907433,1.8912301097144517,1.3418843829037852,0.31403037128533023,0.31403037128533023,0.0007992443507956114,0.008937005013441838,0.0
e1a_step70_reference,e1a_step70_reference,hotpotqa,321.592,2.612,1.6154781199351702,2.1210156672069154,1.4607851933317904,0.4790653700702323,0.4790653700702323,0.0001350621285791464,0.0028363047001620746,0.0
e1a_step70_reference,e1a_step70_reference,2wikimultihopqa,349.189,2.94,1.9514153944020356,2.505168575063613,1.4269363223979266,0.5336354961832062,0.5336354961832062,7.951653944020357e-05,0.00914440203562341,0.0
e1a_step70_reference,e1a_step70_reference,musique,368.808,3.199,2.212360016590626,2.5761094981335546,1.2622207738342142,0.3425964330153463,0.3425964330153463,0.0,0.005806719203649938,0.0
e1a_step70_reference,e1a_step70_reference,bamboogle,287.248,2.856,1.856,2.04,1.1586666666666667,0.184,0.184,0.0,0.0,0.0
e1a_step70_reference,e1a_step70_reference,OVERALL,,,1.597742231597039,2.103630788461163,1.3166271422634037,0.4412413820042577,,0.0002929630280658581,0.005683482744477647,
gap_step120_reference,gap_step120_reference,nq,328.909,2.468,1.4725761772853185,2.1196675900277007,1.5745891043397953,0.5240997229916897,0.5240997229916897,0.000554016620498615,0.002770083102493075,0.0
gap_step120_reference,gap_step120_reference,triviaqa,316.063,2.448,1.4535007072135786,2.0273161244695896,1.5010992330100394,0.46101485148514854,0.46101485148514854,8.84016973125884e-05,0.0025636492220650637,0.0
gap_step120_reference,gap_step120_reference,popqa,332.063,2.709,1.7212816973043668,2.108769890285548,1.3032929905232506,0.2997892901256993,0.2997892901256993,0.000871902928140667,0.008573712126716558,0.0
gap_step120_reference,gap_step120_reference,hotpotqa,341.83,2.83,1.8354943273905997,2.3261750405186388,1.413299760747087,0.4639384116693679,0.4639384116693679,0.0002701242571582928,0.002971366828741221,0.0
gap_step120_reference,gap_step120_reference,2wikimultihopqa,377.464,3.31,2.3295165394402035,2.8486800254452924,1.3341396689082998,0.4979325699745547,0.4979325699745547,0.0,0.009939567430025446,0.0
gap_step120_reference,gap_step120_reference,musique,399.495,3.599,2.6271256739941933,2.9286603069265866,1.184835871304144,0.29282455412691827,0.29282455412691827,0.0,0.006636250518457071,0.0
gap_step120_reference,gap_step120_reference,bamboogle,294.088,2.96,1.96,2.104,1.1266666666666665,0.144,0.144,0.0,0.0,0.0
gap_step120_reference,gap_step120_reference,OVERALL,,,1.853733325520986,2.34331360715611,1.2641050224942842,0.42292142731587273,,0.00033202476514130583,0.0062498779320716395,
gap_step180_reference,gap_step180_reference,nq,335.058,2.531,1.5354570637119114,2.262326869806094,1.6151516950270401,0.5515235457063712,0.5515235457063712,0.000554016620498615,0.0030470914127423824,0.0
gap_step180_reference,gap_step180_reference,triviaqa,321.762,2.518,1.5220120226308345,2.11271216407355,1.498457285141785,0.47754596888260253,0.47754596888260253,8.84016973125884e-05,0.0022984441301272984,0.0
gap_step180_reference,gap_step180_reference,popqa,330.46,2.747,1.7602993533386617,2.1485867906706386,1.2841695124609507,0.29848143573348834,0.29848143573348834,0.0006539271961055002,0.008355736394681392,0.0
gap_step180_reference,gap_step180_reference,hotpotqa,347.096,2.925,1.931658562938952,2.4336844948676393,1.3998345488924915,0.467720151269584,0.467720151269584,0.0,0.004862236628849271,0.0
gap_step180_reference,gap_step180_reference,2wikimultihopqa,390.046,3.447,2.463740458015267,2.9779739185750635,1.2889260912698703,0.4883110687022901,0.4883110687022901,7.951653944020357e-05,0.009303435114503817,0.0
gap_step180_reference,gap_step180_reference,musique,414.356,3.717,2.7428452924097884,3.056408129406885,1.1648728051983979,0.2953131480713397,0.2953131480713397,0.0,0.01244296972210701,0.0
gap_step180_reference,gap_step180_reference,bamboogle,301.28,3.016,2.016,2.2,1.1533333333333335,0.176,0.176,0.0,0.008,0.0
gap_step180_reference,gap_step180_reference,OVERALL,,,1.9362512450928693,2.436495380949591,1.2583570376646696,0.42653463799535163,,0.0002539012909904103,0.006562371828675221,
gap_step60_reference,gap_step60_reference,nq,314.276,2.261,1.2626038781163436,1.9265927977839334,1.6300600184672198,0.5304709141274239,0.5304709141274239,0.000554016620498615,0.002493074792243767,0.0
gap_step60_reference,gap_step60_reference,triviaqa,299.966,2.279,1.2810289957567185,1.8437057991513437,1.528918405233381,0.4518210749646393,0.4518210749646393,8.84016973125884e-05,0.0018564356435643563,0.0
gap_step60_reference,gap_step60_reference,popqa,303.128,2.483,1.492915788708857,1.8788781515657924,1.3381339028381836,0.3104701009954225,0.3104701009954225,0.0006539271961055002,0.008646370704061615,0.0
gap_step60_reference,gap_step60_reference,hotpotqa,318.482,2.601,1.6041329011345218,2.1166936790923825,1.463198946515398,0.47960561858454887,0.47960561858454887,0.0001350621285791464,0.0025661804430037816,0.0
gap_step60_reference,gap_step60_reference,2wikimultihopqa,346.332,2.925,1.9370229007633588,2.494831424936387,1.4298932017145392,0.5377703562340967,0.5377703562340967,7.951653944020357e-05,0.009303435114503817,0.0
gap_step60_reference,gap_step60_reference,musique,366.962,3.179,2.196598921609291,2.5549564496059727,1.2626883727360716,0.3417669017005392,0.3417669017005392,0.0,0.004977187888842804,0.0
gap_step60_reference,gap_step60_reference,bamboogle,278.864,2.808,1.808,1.968,1.148,0.16,0.16,0.0,0.0,0.0
gap_step60_reference,gap_step60_reference,OVERALL,,,1.5889338098865255,2.0922052303665946,1.3167352959252658,0.438604714751665,,0.00027343215952813424,0.005800667955703991,
step100_20260912_045732,e1b_step100,nq,320.325,2.144,1.1443213296398893,1.884764542936288,1.7142174515235458,0.5994459833795014,0.5994459833795014,0.00110803324099723,0.0019390581717451524,0.0
step100_20260912_045732,e1b_step100,triviaqa,305.199,2.163,1.163454738330976,1.8161244695898162,1.6312146393210747,0.5320898161244696,0.5320898161244696,8.84016973125884e-05,0.0007072135785007072,0.0
step100_20260912_045732,e1b_step100,popqa,314.449,2.3,1.3051660248492334,1.7381384872484196,1.3956012151282091,0.3538472716704207,0.3538472716704207,0.0010898786601758338,0.0031243188258373903,0.0
step100_20260912_045732,e1b_step100,hotpotqa,321.724,2.465,1.4656942193408968,2.004457050243112,1.5061059337295157,0.5078336034575905,0.5078336034575905,0.0004051863857374392,0.0008103727714748784,0.0
step100_20260912_045732,e1b_step100,2wikimultihopqa,335.806,2.67,1.6734255725190839,2.227814885496183,1.4719804540773065,0.5384860050890585,0.5384860050890585,0.0,0.0014312977099236641,0.0
step100_20260912_045732,e1b_step100,musique,366.171,2.966,1.9771878888428038,2.3596018249688924,1.299498824830638,0.3629199502281211,0.3629199502281211,0.0,0.0033181252592285357,0.0
step100_20260912_045732,e1b_step100,bamboogle,284.272,2.712,1.712,1.928,1.212,0.2,0.2,0.0,0.0,0.0
step100_20260912_045732,e1b_step100,OVERALL,,,1.408820140231636,1.9542196441475752,1.3871321031982589,0.478213316146169,,0.00044920997636764906,0.0017577781683951485,
step110_20260912_064051,e1b_step110,nq,312.683,2.093,1.0933518005540166,1.8825484764542937,1.7742382271468147,0.6132963988919667,0.6132963988919667,0.000554016620498615,0.0013850415512465374,0.0
step110_20260912_064051,e1b_step110,triviaqa,305.673,2.116,1.1158062234794908,1.790399575671853,1.6578854314002829,0.5532178217821783,0.5532178217821783,0.000442008486562942,0.0010608203677510608,0.0
